id,type,readonly,group,name
92,6,0,cppm,rateYaw
93,6,0,hlCommander,vtoff
94,6,0,hlCommander,vland
95,8,0,flightmode,althold
96,8,0,flightmode,poshold
97,8,0,flightmode,posSet
98,8,0,flightmode,yawMode
99,8,0,flightmode,stabModeRoll
100,8,0,flightmode,stabModePitch
101,8,0,flightmode,stabModeYaw
102,8,0,locSrv,enRangeStreamFP32
103,8,0,locSrv,enLhAngleStream
104,6,0,locSrv,extPosStdDev
105,6,0,locSrv,extQuatStdDev
106,9,0,crtpsrv,echoDelay
107,8,0,health,startPropTest
108,8,0,health,startBatTest
109,9,0,health,propTestPWMRatio
110,9,0,health,batTestPWMRatio
111,6,0,kalman,maxPos
112,6,0,kalman,maxVel
113,8,0,kalman,resetEstimation
114,8,0,kalman,robustTdoa
115,8,0,kalman,robustTwr
116,6,0,kalman,pNAcc_xy
117,6,0,kalman,pNAcc_z
118,6,0,kalman,pNVel
119,6,0,kalman,pNPos
120,6,0,kalman,pNAtt
121,6,0,kalman,mNBaro
122,6,0,kalman,mNGyro_rollpitch
123,6,0,kalman,mNGyro_yaw
124,6,0,kalman,initialX
125,6,0,kalman,initialY
126,6,0,kalman,initialZ
127,6,0,kalman,initialYaw
128,8,0,memTst,resetW
129,10,0,powerDist,idleThrust
130,6,0,quadSysId,thrustToTorque
131,6,0,quadSysId,pwmToThrustA
132,6,0,quadSysId,pwmToThrustB
133,6,0,quadSysId,armLength
134,6,0,sensfusion6,kp
135,6,0,sensfusion6,ki
136,6,0,sensfusion6,baseZacc
137,8,0,sound,effect
138,10,1,sound,neffect
139,9,0,sound,freq
140,8,0,stabilizer,estimator
141,8,0,stabilizer,controller
142,8,0,stabilizer,stop
143,8,0,supervisor,infdmp
144,9,1,cpu,flash
145,10,1,cpu,id0
146,10,1,cpu,id1
147,10,1,cpu,id2
148,8,0,tdoaEngine,logId
149,8,0,tdoaEngine,logOthrId
150,8,0,tdoaEngine,matchAlgo
151,8,0,lighthouse,method
152,8,0,lighthouse,bsCalibReset
153,8,0,lighthouse,systemType
154,9,1,lighthouse,bsAvailable
155,6,0,lighthouse,sweepStd
156,6,0,lighthouse,sweepStd2
157,8,0,lighthouse,enLhRawStream
158,9,0,lighthouse,lh2maxRate
159,6,0,pid_attitude,roll_kp
160,6,0,pid_attitude,roll_ki
161,6,0,pid_attitude,roll_kd
162,6,0,pid_attitude,roll_kff
163,6,0,pid_attitude,pitch_kp
164,6,0,pid_attitude,pitch_ki
165,6,0,pid_attitude,pitch_kd
166,6,0,pid_attitude,pitch_kff
167,6,0,pid_attitude,yaw_kp
168,6,0,pid_attitude,yaw_ki
169,6,0,pid_attitude,yaw_kd
170,6,0,pid_attitude,yaw_kff
171,6,0,pid_attitude,yawMaxDelta
172,0,0,pid_attitude,attFiltEn
173,6,0,pid_attitude,attFiltCut
174,6,0,pid_rate,roll_kp
175,6,0,pid_rate,roll_ki
176,6,0,pid_rate,roll_kd
177,6,0,pid_rate,roll_kff
178,6,0,pid_rate,pitch_kp
179,6,0,pid_rate,pitch_ki
180,6,0,pid_rate,pitch_kd
181,6,0,pid_rate,pitch_kff
182,6,0,pid_rate,yaw_kp
183,6,0,pid_rate,yaw_ki
184,6,0,pid_rate,yaw_kd
185,6,0,pid_rate,yaw_kff
186,0,0,pid_rate,rateFiltEn
187,6,0,pid_rate,omxFiltCut
188,6,0,pid_rate,omyFiltCut
189,6,0,pid_rate,omzFiltCut
190,6,0,ctrlINDI,thrust_threshold
191,6,0,ctrlINDI,bound_ctrl_input
192,6,0,ctrlINDI,g1_p
193,6,0,ctrlINDI,g1_q
194,6,0,ctrlINDI,g1_r
195,6,0,ctrlINDI,g2
196,6,0,ctrlINDI,ref_err_p
197,6,0,ctrlINDI,ref_err_q
198,6,0,ctrlINDI,ref_err_r
199,6,0,ctrlINDI,ref_rate_p
200,6,0,ctrlINDI,ref_rate_q
201,6,0,ctrlINDI,ref_rate_r
202,6,0,ctrlINDI,act_dyn_p
203,6,0,ctrlINDI,act_dyn_q
204,6,0,ctrlINDI,act_dyn_r
205,6,0,ctrlINDI,filt_cutoff
206,6,0,ctrlINDI,filt_cutoff_r
207,8,0,ctrlINDI,outerLoopActive
208,6,0,ctrlMel,kp_xy
209,6,0,ctrlMel,kd_xy
210,6,0,ctrlMel,ki_xy
211,6,0,ctrlMel,i_range_xy
212,6,0,ctrlMel,kp_z
213,6,0,ctrlMel,kd_z
214,6,0,ctrlMel,ki_z
215,6,0,ctrlMel,i_range_z
216,6,0,ctrlMel,mass
217,6,0,ctrlMel,massThrust
218,6,0,ctrlMel,kR_xy
219,6,0,ctrlMel,kR_z
220,6,0,ctrlMel,kw_xy
221,6,0,ctrlMel,kw_z
222,6,0,ctrlMel,ki_m_xy
223,6,0,ctrlMel,ki_m_z
224,6,0,ctrlMel,kd_omega_rp
225,6,0,ctrlMel,i_range_m_xy
226,6,0,ctrlMel,i_range_m_z
227,6,0,ctrlAtt,tau_xy
228,6,0,ctrlAtt,zeta_xy
229,6,0,ctrlAtt,tau_z
230,6,0,ctrlAtt,zeta_z
231,6,0,ctrlAtt,tau_rp
232,6,0,ctrlAtt,mixing_factor
233,6,0,ctrlAtt,coll_fairness
234,6,0,posCtrlIndi,K_xi_x
235,6,0,posCtrlIndi,K_xi_y
236,6,0,posCtrlIndi,K_xi_z
237,6,0,posCtrlIndi,K_dxi_x
238,6,0,posCtrlIndi,K_dxi_y
239,6,0,posCtrlIndi,K_dxi_z
240,6,0,posCtrlIndi,pq_clamping
241,6,0,posCtlPid,xKp
242,6,0,posCtlPid,xKi
243,6,0,posCtlPid,xKd
244,6,0,posCtlPid,xKff
245,6,0,posCtlPid,yKp
246,6,0,posCtlPid,yKi
247,6,0,posCtlPid,yKd
248,6,0,posCtlPid,yKff
249,6,0,posCtlPid,zKp
250,6,0,posCtlPid,zKi
251,6,0,posCtlPid,zKd
252,6,0,posCtlPid,zKff
253,9,0,posCtlPid,thrustBase
254,9,0,posCtlPid,thrustMin
255,6,0,posCtlPid,rLimit
256,6,0,posCtlPid,pLimit
257,6,0,posCtlPid,xVelMax
258,6,0,posCtlPid,yVelMax
259,6,0,posCtlPid,zVelMax
260,6,0,velCtlPid,vxKp
261,6,0,velCtlPid,vxKi
262,6,0,velCtlPid,vxKd
263,6,0,velCtlPid,vxKFF
264,6,0,velCtlPid,vyKp
265,6,0,velCtlPid,vyKi
266,6,0,velCtlPid,vyKd
267,6,0,velCtlPid,vyKFF
268,6,0,velCtlPid,vzKp
269,6,0,velCtlPid,vzKi
270,6,0,velCtlPid,vzKd
271,6,0,velCtlPid,vzKFF
272,6,0,posEstAlt,estAlphaAsl
273,6,0,posEstAlt,estAlphaZr
274,6,0,posEstAlt,velFactor
275,6,0,posEstAlt,velZAlpha
276,6,0,posEstAlt,vAccDeadband
277,10,1,firmware,revision0
278,9,1,firmware,revision1
279,8,1,firmware,modified
