id,type,readonly,group,name
77,8,0,kalman,robustTwr
78,6,0,kalman,pNAcc_xy
79,6,0,kalman,pNAcc_z
80,6,0,kalman,pNVel
81,6,0,kalman,pNPos
82,6,0,kalman,pNAtt
83,6,0,kalman,mNBaro
84,6,0,kalman,mNGyro_rollpitch
85,6,0,kalman,mNGyro_yaw
86,6,0,kalman,initialX
87,6,0,kalman,initialY
88,6,0,kalman,initialZ
89,6,0,kalman,initialYaw
90,8,0,memTst,resetW
91,10,0,powerDist,idleThrust
92,6,0,quadSysId,thrustToTorque
93,6,0,quadSysId,pwmToThrustA
94,6,0,quadSysId,pwmToThrustB
95,6,0,quadSysId,armLength
96,6,0,sensfusion6,kp
97,6,0,sensfusion6,ki
98,6,0,sensfusion6,baseZacc
99,8,0,sound,effect
100,10,1,sound,neffect
101,9,0,sound,freq
102,8,0,stabilizer,estimator
103,8,0,stabilizer,controller
104,8,0,stabilizer,stop
105,8,0,supervisor,infdmp
106,9,1,cpu,flash
107,10,1,cpu,id0
108,10,1,cpu,id1
109,10,1,cpu,id2
110,6,0,pid_attitude,roll_kp
111,6,0,pid_attitude,roll_ki
112,6,0,pid_attitude,roll_kd
113,6,0,pid_attitude,roll_kff
114,6,0,pid_attitude,pitch_kp
115,6,0,pid_attitude,pitch_ki
116,6,0,pid_attitude,pitch_kd
117,6,0,pid_attitude,pitch_kff
118,6,0,pid_attitude,yaw_kp
119,6,0,pid_attitude,yaw_ki
120,6,0,pid_attitude,yaw_kd
121,6,0,pid_attitude,yaw_kff
122,6,0,pid_attitude,yawMaxDelta
123,0,0,pid_attitude,attFiltEn
124,6,0,pid_attitude,attFiltCut
125,6,0,pid_rate,roll_kp
126,6,0,pid_rate,roll_ki
127,6,0,pid_rate,roll_kd
128,6,0,pid_rate,roll_kff
129,6,0,pid_rate,pitch_kp
130,6,0,pid_rate,pitch_ki
131,6,0,pid_rate,pitch_kd
132,6,0,pid_rate,pitch_kff
133,6,0,pid_rate,yaw_kp
134,6,0,pid_rate,yaw_ki
135,6,0,pid_rate,yaw_kd
136,6,0,pid_rate,yaw_kff
137,0,0,pid_rate,rateFiltEn
138,6,0,pid_rate,omxFiltCut
139,6,0,pid_rate,omyFiltCut
140,6,0,pid_rate,omzFiltCut
141,6,0,ctrlINDI,thrust_threshold
142,6,0,ctrlINDI,bound_ctrl_input
143,6,0,ctrlINDI,g1_p
144,6,0,ctrlINDI,g1_q
145,6,0,ctrlINDI,g1_r
146,6,0,ctrlINDI,g2
147,6,0,ctrlINDI,ref_err_p
148,6,0,ctrlINDI,ref_err_q
149,6,0,ctrlINDI,ref_err_r
150,6,0,ctrlINDI,ref_rate_p
151,6,0,ctrlINDI,ref_rate_q
152,6,0,ctrlINDI,ref_rate_r
153,6,0,ctrlINDI,act_dyn_p
154,6,0,ctrlINDI,act_dyn_q
155,6,0,ctrlINDI,act_dyn_r
156,6,0,ctrlINDI,filt_cutoff
157,6,0,ctrlINDI,filt_cutoff_r
158,8,0,ctrlINDI,outerLoopActive
159,6,0,ctrlMel,kp_xy
160,6,0,ctrlMel,kd_xy
161,6,0,ctrlMel,ki_xy
162,6,0,ctrlMel,i_range_xy
163,6,0,ctrlMel,kp_z
164,6,0,ctrlMel,kd_z
165,6,0,ctrlMel,ki_z
166,6,0,ctrlMel,i_range_z
167,6,0,ctrlMel,mass
168,6,0,ctrlMel,massThrust
169,6,0,ctrlMel,kR_xy
170,6,0,ctrlMel,kR_z
171,6,0,ctrlMel,kw_xy
172,6,0,ctrlMel,kw_z
173,6,0,ctrlMel,ki_m_xy
174,6,0,ctrlMel,ki_m_z
175,6,0,ctrlMel,kd_omega_rp
176,6,0,ctrlMel,i_range_m_xy
177,6,0,ctrlMel,i_range_m_z
178,6,0,ctrlAtt,tau_xy
179,6,0,ctrlAtt,zeta_xy
180,6,0,ctrlAtt,tau_z
181,6,0,ctrlAtt,zeta_z
182,6,0,ctrlAtt,tau_rp
183,6,0,ctrlAtt,mixing_factor
184,6,0,ctrlAtt,coll_fairness
185,6,0,posCtrlIndi,K_xi_x
186,6,0,posCtrlIndi,K_xi_y
187,6,0,posCtrlIndi,K_xi_z
188,6,0,posCtrlIndi,K_dxi_x
189,6,0,posCtrlIndi,K_dxi_y
190,6,0,posCtrlIndi,K_dxi_z
191,6,0,posCtrlIndi,pq_clamping
192,6,0,velCtlPid,vxKp
193,6,0,velCtlPid,vxKi
194,6,0,velCtlPid,vxKd
195,6,0,velCtlPid,vxKFF
196,6,0,velCtlPid,vyKp
197,6,0,velCtlPid,vyKi
198,6,0,velCtlPid,vyKd
199,6,0,velCtlPid,vyKFF
200,6,0,velCtlPid,vzKp
201,6,0,velCtlPid,vzKi
202,6,0,velCtlPid,vzKd
203,6,0,velCtlPid,vzKFF
204,6,0,posCtlPid,xKp
205,6,0,posCtlPid,xKi
206,6,0,posCtlPid,xKd
207,6,0,posCtlPid,xKff
208,6,0,posCtlPid,yKp
209,6,0,posCtlPid,yKi
210,6,0,posCtlPid,yKd
211,6,0,posCtlPid,yKff
212,6,0,posCtlPid,zKp
213,6,0,posCtlPid,zKi
214,6,0,posCtlPid,zKd
215,6,0,posCtlPid,zKff
216,9,0,posCtlPid,thrustBase
217,9,0,posCtlPid,thrustMin
218,6,0,posCtlPid,rLimit
219,6,0,posCtlPid,pLimit
220,6,0,posCtlPid,xVelMax
221,6,0,posCtlPid,yVelMax
222,6,0,posCtlPid,zVelMax
223,6,0,posEstAlt,estAlphaAsl
224,6,0,posEstAlt,estAlphaZr
225,6,0,posEstAlt,velFactor
226,6,0,posEstAlt,velZAlpha
227,6,0,posEstAlt,vAccDeadband
228,10,1,firmware,revision0
229,9,1,firmware,revision1
230,8,1,firmware,modified
